Freq	word1	word2	pos1	pos2
29	it	depend	pph1	vvi
75	somebody	we	pn1	ppis2
315	to	people	ii22	nn
48	that	excuse	dd1	nn1
29	Rock	Hotel	nn1	nn1
44	even	particularly	rr	rr
59	This	life	dd1	nn1
967	the	count	at	nn1
46	of	wing	io	nn1
563	with	considerable	iw	jj
89	elitist	and	jj	cc
26	winged	horse	jj	nn1
330	can	already	vm	rr
54	pillars	that	nn2	cst
68	wait	was	nn1	vbdz
362	mostly	white	rr	jj
650	Robert	Novak	np1	np1
43	were	directing	vbdr	vvg
30	essential	prerequisite	jj	nn1
34	vein	as	nn1	csa
40	energy	here	nn1	rl
101	her	person	appge	nn1
50	the	Senufo	at	nn1
28	to	chess	ii	nn1
31	of	men	ii22	nn2
52	or	leaves	cc	vvz
577	He	hoped	pphs1	vvd
48	his	casket	appge	nn1
161	one	language	mc1	nn1
28	this	upon	dd1	ii
81	it	introduces	pph1	vvz
68	in	interior	ii	jj
39	than	Paul	csn	np1
67	The	emotions	at	nn2
55	and	whispered	cc	vvn
37	the	allergic	at	jj
103	heart	valves	nn1	nn2
116	common	element	jj	nn1
25	Microsoft	Chairman	np1	nn1
60	residential	community	jj	nn1
34	another	single	dd1	jj
33	doing	would	vdg	vm
116	be	elevated	vbi	vvn
890	good	look	jj	nn1
33	is	pinning	vbz	vvg
38	types	will	nn2	vm
70	and	resorts	cc	nn2
33	Elders	and	nn2	cc
35	known	which	vvn	ddq
763	pay	and	nn1	cc
25	died	three	vvn	mc
25	was	dreadfully	vbdz	rr
168	burned	at	vvn	ii
29	kill	one	vv0	mc1
29	the	Pinta	at	nn1
63	pay	so	vvi	rg
3549	serves	as	vvz	ii
89	are	limitations	vbr	nn2
58	Peer	pressure	vv0	nn1
61	his	exceptional	appge	jj
79	Continuing	Education	jj	nn1
56	their	deployment	appge	nn1
24	as	nuts	ii22	nn2
202	said	was	vvn	vbdz
27	those	billions	dd2	m
28	you	beg	ppy	vv0
3383	the	grounds	at	nn2
37	rural	locations	jj	nn2
101	People	also	nn	rr
122	to	Remember	to	vv0
35	who	hide	pnqs	vv0
197	belt	in	nn1	ii
28	a	Paris-based	at1	jj
54	this	points	dd1	vvz
35	McCain	bill	np1	nn1
476	of	contention	io	nn1
25	separate	nations	jj	nn2
55	could	hunt	vm	vvi
329	agricultural	land	jj	nn1
24	is	energetic	vbz	jj
27	German	researchers	jj	nn2
37	including	Ms.	ii	nnb
101	a	north	at1	nd1
50	the	IOM	at	nn1
58	most	influence	rrt	vv0
24	the	Psalms	at	nn2
38	country	out	nn1	rp
39	David	Terrell	np1	np1
28	beeline	to	nn1	ii
160	of	Annie	io	np1
29	The	factories	at	nn2
67	Sample	items	nn1	nn2
246	just	putting	rr	vvg
64	are	ending	vbr	vvg
124	steady	at	jj	ii
44	East	Main	np1	np1
37	cigarette	ash	nn1	nn1
26	Airport	by	nn1	ii
39	others	whom	nn2	pnqo
38	model	and	vvi	cc
592	into	existence	ii	nn1
45	office	number	nn1	nn1
41	processes	occurring	nn2	vvg
431	is	readily	vbz	rr
68	solid	as	jj	ii
34	But	Father	ccb	nnb
47	sample	as	nn1	ii
139	Drug	Control	nn1	nn1
38	laid	waste	vvn	nn1
46	scanner	to	nn1	to
378	SPENCER	CHRISTIAN	np1	jj
29	national	opinion	jj	nn1
72	One	prominent	mc1	jj
71	no	honor	at	nn1
34	economic	risks	jj	nn2
34	who	delighted	pnqs	vvd
197	drive	us	vvi	ppio2
39	Christian	truth	jj	nn1
38	had	fooled	vhd	vvn
52	go	everywhere	vvi	rl
276	Van	Buren	np1	np1
33	father	dead	nn1	jj
280	religious	studies	jj	nn2
39	Intervention	in	nn1	ii
63	and	broaden	cc	vvi
26	in	pity	ii	nn1
53	commercial	world	jj	nn1
451	Founding	Fathers	jj	nn2
49	TV	signals	nn1	nn2
38	beef	patties	nn1	nn2
82	separate	parts	jj	nn2
27	is	Leonard	vbz	np1
45	door	who	nn1	pnqs
24	billion	are	m	vbr
618	a	revival	at1	nn1
471	For	her	if	ppho1
51	marginal	rates	jj	nn2
25	Stephen	Harper	np1	np1
224	their	terms	appge	nn2
53	mirrors	a	nn2	at1
48	two	machines	mc	nn2
60	grass	field	nn1	nn1
36	undercover	sting	jj	nn1
30	keeping	peace	vvg	nn1
48	club	he	nn1	pphs1
119	or	stone	cc	nn1
27	Viagra	is	np1	vbz
43	Israelis	from	nn2	ii
65	fees	charged	nn2	vvn
61	How	cool	rgq	jj
81	to	section	ii	nn1
81	rags	to	nn2	ii
315	life	easier	nn1	rrr
42	to	seasonal	ii	jj
35	national	popular	jj	jj
31	with	Libby	iw	np1
44	hermeneutics	and	nn2	cc
33	enclose	the	vv0	at
2370	a	debate	at1	nn1
38	is	attention	vbz	nn1
132	town	this	nn1	dd1
38	She	demanded	pphs1	vvd
488	buyers	and	nn2	cc
81	rest	have	nn1	vh0
164	The	post	at	nn1
81	The	banking	at	nn1
50	Beverly	Wilshire	np1	np1
32	Order	by	nn1	ii
250	rising	above	vvg	ii
6261	the	train	at	nn1
33	of	criminology	io	nn1
39	Glenn	had	np1	vhd
28	client	as	nn1	csa
25	chronicled	his	vvd	appge
34	breathing	exercises	nn1	nn2
44	gracious	host	jj	nn1
206	field	office	nn1	nn1
223	therapist	who	nn1	pnqs
283	got	so	vvd	rr
24	commenced	the	vvd	at
88	The	automaker	at	nn1
31	awhile	before	rr	ii
173	when	others	rrq	nn2
30	to	Pakistani	ii	jj
153	Weeks	later	nnt2	rrr
71	Hell	and	nn1	cc
1533	a	dirty	at1	jj
105	to	course	ii	nn1
218	strike	a	vv0	at1
38	old	bat	jj	nn1
79	New	Urbanism	jj	nn1
152	to	Lucy	ii	np1
36	author	writes	nn1	vvz
885	proportions	of	nn2	io
179	perceive	their	vv0	appge
24	Americans	appear	nn2	vv0
40	appeals	have	nn2	vh0
32	candlelight	vigils	nn1	nn2
37	referring	specifically	vvg	rr
28	some	celebrities	dd	nn2
84	Dr.	Lecter	nnb	np1
40	liquid	evaporates	jj	nn2
85	hollow	in	nn1	ii
62	State	may	nn1	vm
57	near	Paris	ii	np1
25	millions	that	m	cst
150	Secretary	Rumsfeld	nn1	nn1
59	walked	three	vvd	mc
68	judge	refused	nn1	vvd
593	mother	that	nn1	cst
941	poetry	and	nn1	cc
41	from	Fairfax	ii	np1
40	can	on	nn1	ii
136	follow	her	vv0	ppho1
50	social	existence	jj	nn1
41	dotted	by	vvn	ii
53	energy	comes	nn1	vvz
45	Von	Furstenberg	np1	np1
34	failed	experiment	jj	nn1
32	options	which	nn2	ddq
46	your	territory	appge	nn1
27	helpful	on	jj	ii
54	Democratic	incumbents	jj	nn2
101	Art	from	nn1	ii
82	After	those	cs	dd2
70	not	discussing	xx	vvg
78	Earlier	we	rrr	ppis2
29	diversion	programs	nn1	nn2
98	reaching	across	vvg	ii
35	lab	would	nn1	vm
79	have	fled	vhi	vvn
66	by	Saudi	ii	jj
26	invested	more	vvd	dar
41	voice	as	nn1	cs21
37	relatives	here	nn2	rl
37	and	Administrative	cc	jj
116	pounds	from	nn2	ii
208	racial	equality	jj	nn1
25	formal	mechanisms	jj	nn2
39	occupied	at	vvn	ii
25	Lets	play	vvz	nn1
24	customers	also	nn2	rr
39	remained	essentially	vvn	rr
24	specific	sections	jj	nn2
42	another	resolution	dd1	nn1
73	music	started	nn1	vvd
65	she	proposed	pphs1	vvd
84	shoe	boxes	nn1	nn2
131	tones	that	nn2	cst
27	four	scenarios	mc	nn2
33	it	flooded	pph1	vvd
27	experiencing	problems	vvg	nn2
335	actually	on	rr	ii
53	the	constitutionally	at	rr
237	Charlie	Chaplin	np1	np1
33	impact	over	nn1	ii
38	grief	had	nn1	vhd
191	speak	English	vvi	jj
668	providing	an	vvg	at1
32	in	liquids	ii	nn2
39	trap	the	vv0	at
38	these	chains	dd2	nn2
154	Flying	Box	jj	nn1
36	our	savior	appge	nn1
29	them	develop	ppho2	vv0
31	are	bits	vbr	nn2
25	having	formed	vhg	vvn
140	with	teenagers	iw	nn2
25	QB	David	fo	np1
84	about	fairness	ii	nn1
29	The	totals	at	nn2
35	squirt	gun	nn1	nn1
43	clicking	away	vvg	rl
51	jurisprudence	of	nn1	io
29	make	before	vvi	ii
26	that	apart	cst	ii21
150	stuff	out	nn1	ii21
60	she	use	pphs1	vvi
36	public	without	rr22	iw
109	period	following	nn1	vvg
74	General	Petraeus	jj	nn
59	Directed	by	vvd	ii
702	on	into	rp	ii
46	the	fiber-optic	at	jj
95	misunderstood	the	vvn	at
25	collective	amnesia	jj	nn1
78	up	drinking	rp	vvg
38	particular	strategy	jj	nn1
40	the	ATF	at	np1
24	cell	cancer	nn1	nn1
49	just	figure	rr	vv0
255	excellent	example	jj	nn1
278	so	crazy	rg	jj
31	plant	whose	nn1	ddqge
134	never	charged	rr	vvn
28	PATRICK	MCCORMICK	np1	np1
49	homework	at	nn1	ii
435	on	teaching	ii	vvg
24	got	killed	vvn	jj
33	thirties	who	mc2	pnqs
77	evaluate	it	vvi	pph1
50	They	involve	pphs2	vv0
251	wonderful	man	jj	nn1
26	No	to	uh	ii
48	all	incoming	db	jj
121	Jesus	himself	np1	ppx1
62	a	preparatory	at1	jj
194	war	itself	nn1	ppx1
39	certain	passages	jj	nn2
24	engine	kicks	nn1	vvz
80	Ben	has	np1	vhz
45	to	rats	ii	nn2
24	define	its	vv0	appge
29	March	as	npm1	ii
101	Abdel	Nasser	np1	np1
42	often	unclear	rr	jj
58	is	intensified	vbz	vvn
256	seem	very	vvi	rg
34	then	perform	rt	vv0
33	terrorist	surveillance	jj	nn1
29	AAU	team	np1	nn1
28	book	offers	nn1	nn2
37	open	minds	jj	nn2
41	free	me	vvi	ppio1
56	remained	alive	vvd	jj
73	house	became	nn1	vvd
103	be	purely	vbi	rr
1025	a	nap	at1	nn1
83	landscape	to	nn1	to
24	child	do	nn1	vd0
84	three	teenagers	mc	nn2
34	great	stock	jj	nn1
37	scientific	certainty	jj	nn1
195	then	joined	rt	vvd
25	Boogie	Nights	nn1	nnt2
83	U.S.-Soviet	relations	jj	nn2
133	is	stressed	vbz	vvn
31	for	invasive	if	jj
80	lanes	are	nn2	vbr
31	Pleasantly	quiet	rr	vv0
606	friend	to	nn1	to
50	confirmed	dead	vvn	jj
35194	order	to	bcl22	to
32	the	Bengal	at	jj
31	first	nomination	md	nn1
40	good	blood	jj	nn1
34	the	paws	at	nn2
25	accounts	into	nn2	ii
104	last	detail	md	nn1
189	a	divisive	at1	jj
13831	do	nt	vd0	xx
421	a	bust	at1	nn1
53	reform	health	vvi	nn1
28	mainstream	appeal	jj	nn1
43	hung	above	vvd	ii
26	to	samples	ii	nn2
77	most	animals	dat	nn2
345	and	civilians	cc	nn2
38	bring	itself	vvi	ppx1
213	ask	their	vvi	appge
497	returns	to	nn2	ii
24	endlessly	for	rr	if
38	Human	Participant	jj	nn1
34	Beauty	Supply	nn1	nn1
40	e-mails	or	nn2	cc
916	a	whopping	at1	jj
26	extra	equipment	jj	nn1
568	and	tough	cc	jj
36	easily	managed	rr	vvn
128	central	region	jj	nn1
32	signature	piece	nn1	nn1
28	guy	thinks	nn1	vvz
25	secured	on	vvn	ii
29	countries	except	nn2	ii
52	literature	will	nn1	vm
53	housed	on	vvn	ii
452	are	applied	vbr	vvn
79	a	hinged	at1	jj
48	was	deeper	vbdz	rrr
67	own	more	vv0	dar
73	The	composite	at	jj
161	below	for	rl	if
234	on	scientific	ii	jj
47	and	for-profit	cc	jj
25	irresponsible	of	jj	io
37	He	spied	pphs1	vvd
69	assessment	system	nn1	nn1
64	endangered	or	jj	cc
31	consider	whether	vvi	csw31
37	colonial	empire	jj	nn1
83	for	Australia	if	np1
84	of	gain	io	nn1
36	tests	before	nn2	ii
36	this	begins	dd1	vvz
672	by	increasing	ii	vvg
26	trophy	hunting	nn1	nn1
161	are	positively	vbr	rr
68	then	within	rt	ii
45	precincts	and	nn2	cc
99	Federal	funds	jj	nn2
26	central	repository	jj	nn1
682	their	teeth	appge	nn2
106	Danielle	Steel	np1	np1
104	almost	reached	rr	vvn
31	specialties	such	nn2	ii21
27	nudist	colony	nn1	nn1
45	not	sink	xx	vvi
46	or	folk	cc	nn
41	says	O'Brien	vvz	np1
184	that	hurt	cst	vvd
34	the	VPSO	at	nn1
30	not	articulated	xx	vvn
313	also	find	rr	vv0
356	on	key	ii	jj
46	disease	they	nn1	pphs2
28	or	medium-sized	cc	jj
27	ringing	from	vvg	ii
35	U.S.	version	np1	nn1
517	to	oust	to	vvi
36	process	resulted	nn1	vvn
28	all	homeless	db	jj
44	von	Sternberg	np1	np1
24	seat	this	nn1	dd1
66	The	shotgun	at	nn1
85	the	westernmost	at	jj
44	me	coffee	ppio1	nn1
41	British	thermal	jj	jj
166	changes	we	nn2	ppis2
505	at	Lincoln	ii	np1
95	break	SAM	nn1	np1
30	the	KDP	at	np1
45	international	agency	jj	nn1
30	been	cloned	vbn	vvn
40	and	Privacy	cc	nn1
303	a	horrific	at1	jj
364	He	ended	pphs1	vvd
388	some	action	dd	nn1
359	to	fifteen	ii	mc
94	impregnated	with	vvn	iw
112	which	monitors	ddq	vvz
125	men	need	nn2	vv0
32	cold	November	jj	npm1
222	Mr.	BEATTY	nnb	np1
40	in	unless	rp	cs
98	dining	experience	nn1	nn1
27	These	rituals	dd2	nn2
28	rigorous	studies	jj	nn2
28	watch	over	vv0	ii
3155	the	Reagan	at	np1
38	use	before	nn1	ii
28	like	blind	ii	jj
78	n't	investigate	xx	vvi
24	pass	each	vvi	ppx221
75	of	PM	io	np1
82	they	accused	pphs2	vvd
36	airport	terminals	nn1	nn2
34	and	exploited	cc	jj
57	failure	if	nn1	cs
39	say	government	vv0	nn1
264	in	Saigon	ii	np1
51	was	forwarded	vbdz	vvn
125	are	unacceptable	vbr	jj
48	tighter	around	rrr	ii
29	rebellions	and	nn2	cc
421	the	vulnerability	at	nn1
45	many	conflicting	da2	jj
29	faces	looking	nn2	vvg
31	elevated	his	vvd	appge
103	best	face	jjt	nn1
26	cousin	John	nn1	np1
32	Lamont	and	np1	cc
41	is	commensurate	vbz	jj
108	participation	from	nn1	ii
123	bleeding	and	vvg	cc
317	usually	at	rr	ii
30	Vladimir	Horowitz	np1	np1
101	to	me	to	ppio1
48	that	discuss	cst	vv0
61	impacted	the	vvn	at
115	control	subjects	nn1	nn2
90	bighorn	sheep	vv0	nn
78	designated	driver	jj	nn1
25	miss	and	nn1	cc
80	free	care	jj	nn1
30	election	comes	nn1	vvz
855	assembly	line	nn1	nn1
29	contacted	about	vvn	ii
40	completely	blown	rr	vvn
36	first	gift	md	nn1
25	are	time	vbr	nnt1
40	budget	cuts	vvi	nn2
175	president	as	nn1	csa
25	Beverly	Enterprises	np1	nn2
42	were	recoded	vbdr	vvn
2801	the	editor	at	nn1
32	million	two	m	mc
45	for	uranium	if	nn1
33	much	memory	da1	nn1
33	of	exception	io	nn1
204	is	reasonably	vbz	rr
128	on	members	ii	nn2
24	varying	interpretations	jj	nn2
115	woman	smiled	nn1	vvd
51	with	international	ii33	jj
27	after	Ben	ii	np1
45	California	primary	np1	nn1
36	convert	its	vvi	appge
54	election	workers	nn1	nn2
275	finger	to	nn1	to
47	expect	something	vv0	pn1
81	to	lying	ii	vvg
115	limo	driver	nn1	nn1
91	for	bin	if	nn1
24	California	authorities	np1	nn2
50	white	beach	jj	nn1
27	tale	on	nn1	ii
168	hills	that	nn2	cst
24	and	preconceptions	cc	nn2
32	Mr.	Culkin	nnb	np1
35	and	polarizing	cc	vvg
93	you	judge	ppy	vv0
49	dashed	hopes	jj	nn2
25	cyst	was	nn1	vbdz
39	American	babies	jj	nn2
24	the	Amana	at	np1
31	were	subpoenaed	vbdr	vvn
913	himself	at	ppx1	ii
55	river	near	nn1	ii
90	by	Oliver	ii	np1
71	milk	until	nn1	cs
1037	for	signs	if	nn2
31	to	overwork	to	vvi
35	have	flowed	vh0	vvn
133	these	shores	dd2	nn2
33	holdings	from	nn2	ii
24	duration	that	nn1	cst
90	By	Don	ii	np1
30	grinder	or	nn1	cc
61	and	crumbly	cc	jj
221	of	superior	io	jj
42	at	Bryn	ii	np1
25	one	toy	mc1	nn1
27	increase	investment	vvi	nn1
27	when	German	cs	jj
81	big	dark	jj	jj
30	winners	is	nn2	vbz
31	Brenda	Sue	np1	np1
27	new	dating	jj	nn1
46	THE	IMPORTANCE	at	nn1
136	fresh	for	jj	if
64	Bernard	Madoff	np1	np1
40	next	general	md	jj
110	musician	in	nn1	ii
27	of	misrule	io	nn1
45	linebacker	Mike	nn1	np1
29	mechanisms	responsible	nn2	jj
36	technical	stuff	jj	nn1
62	Berry	has	np1	vhz
27	caution	to	nn1	to
57	a	kiln	at1	nn1
104	Andrew	J.	np1	np1
25	military	values	jj	nn2
36	shades	the	vvz	at
116	mom	that	nn1	cst
121	establishment	has	nn1	vhz
425	who	graduated	pnqs	vvd
43	any	strategy	dd	nn1
365	an	IRA	at1	np1
273	republics	of	nn2	io
24	are	metal	vbr	nn1
231	us	away	ppio2	rl
59	provide	even	vvi	rr
52	subject	may	nn1	vm
165	Another	aspect	dd1	nn1
27	numerical	measure	jj	nn1
29	bedroom	apartment	nn1	nn1
178	further	studies	jjr	nn2
31	and	making	cc	nn1
41	and	crystals	cc	nn2
95	Any	such	dd	da
25	Heat	Wave	nn1	nn1
213	your	buddy	appge	nn1
108	that	winning	cst	vvg
262	had	retired	vhd	vvn
67	in	telephone	ii	nn1
234	for	games	if	nn2
92	militants	have	nn2	vh0
31	and	chipped	cc	vvd
35	about	agriculture	ii	nn1
42	Iraqi	artillery	jj	nn1
28	and	Bridges	cc	np1
44	forces	after	nn2	ii
51	coat	collar	nn1	nn1
57	She	tipped	pphs1	vvd
120	regulations	will	nn2	vm
34	dog	if	nn1	cs
27	bloom	and	vv0	cc
683	Which	one	ddq	pn1
117	into	squares	ii	nn2
205	achievement	test	nn1	nn1
40	plant	your	vvi	appge
235	had	presented	vhd	vvn
36	which	parallels	ddq	vvz
55	by	house	ii	nn1
19048	the	former	at	da
112	deer	with	nn	iw
145	random	sampling	jj	nn1
56	their	eldest	appge	jjt
59	The	assumptions	at	nn2
830	significant	in	jj	ii
1271	year	before	nnt1	ii
67	whose	nickname	ddqge	nn1
29	and	intensifies	cc	vvz
25	nimble	enough	jj	rr
31	I	choke	ppis1	vv0
33	Hurricane	Floyd	nn1	np1
26	A	feast	at1	nn1
75	Add	cream	vv0	nn1
47	the	lair	at	nn1
101	mean	no	vv0	at
34	stand	all	vvi	db
68	Sarah	in	np1	ii
112	Josh	had	np1	vhd
6038	She	says	pphs1	vvz
74	still	face	rr	vvi
86	Prices	have	nn2	vh0
35	chipping	in	vvg	rp
44	Mr.	Chambers	nnb	np1
26	these	cold	dd2	jj
138	Practice	of	nn1	io
50	Arthel	Neville	np1	np1
351	hit	my	vvd	appge
32	those	French	dd2	jj
1119	the	damn	at	jj
77	focuses	on	vvz	rp
41	submit	its	vvi	appge
60	or	round	cc	jj
72	viewers	the	nn2	at
27	clear-cut	case	jj	nn1
73	considerable	risk	jj	nn1
29	Max	turns	np1	vvz
727	I	taught	ppis1	vvd
29	lives	not	vvz	xx
32	nouvelle	cuisine	nn121	nn122
25	SUBJECT	TO	ii21	ii22
92	Islam	as	nn1	csa
218	Ella	Fitzgerald	np1	np1
95	has	instead	vhz	rr
913	is	finished	vbz	vvn
30	nominees	to	nn2	to
463	light	up	vvi	rp
31	sharp	blue	jj	jj
49	total	will	nn1	vm
48	New	Town	jj	nn1
25	finally	struck	rr	vvn
641	time	would	nnt1	vm
26	have	David	vh0	np1
129	of	glucose	io	nn1
115	among	that	ii	dd1
32	barrel	from	nn1	ii
29	demean	the	vvi	at
28	treatment	needs	nn1	nn2
26	few	cans	da2	nn2
127	incomes	in	nn2	ii
55	still	view	rr	vv0
229	discussing	this	vvg	dd1
730	de	France	fw	np1
17998	with	some	iw	dd
33	season	does	nnt1	vdz
42	a	phallic	at1	jj
52	one	husband	mc1	nn1
168	walk	on	vvi	rp
32	genocide	in	vv0	ii
29	research	comes	nn1	vvz
28	an	entre	at1	fw
70	state	convention	nn1	nn1
53	hopefully	not	rr	xx
37	technology	without	nn1	iw
28	Steinberg	is	np1	vbz
30	him	set	ppho1	vvd
694	out	back	rp	rp
26	like	radar	ii	nn1
56	apprenticed	to	vvn	ii
81	Japanese	tourists	jj	nn2
26	trivial	to	jj	ii
35	began	carrying	vvd	vvg
24	poem	the	nn1	at
35	The	detector	at	nn1
74	and	yields	cc	vvz
565	agenda	is	nn1	vbz
31	not	materially	xx	rr
81	previous	efforts	jj	nn2
28	bubbles	form	nn2	vv0
55	pork	from	nn1	ii
27	on	Pleasant	ii	jj
24	this	concession	dd1	nn1
24	Virginia	as	np1	ii
1402	anticipation	of	nn1	io
190	grave	in	nn1	ii
35	wanted	every	vvd	at1
34	nor	write	cc	vvi
110	process	continues	nn1	vvz
24	pipe	can	nn1	vm
61	computer	experts	nn1	nn2
32	threat	can	nn1	vm
30	promote	political	vvi	jj
47	missing	three	vvg	mc
65	aquatic	habitats	jj	nn2
263	editor	who	nn1	pnqs
147	will	hire	vm	vvi
32	Army	officers	nn1	nn2
68	worn	as	vvn	ii
51	is	symbolically	vbz	rr
108	the	crisp	at	nn1
45	the	alligators	at	nn2
36	your	liberal	appge	jj
1609	was	passed	vbdz	vvn
44	n't	dump	xx	vvi
41	even	hinted	rr	vvn
55	presentation	or	nn1	cc
30	spokesmen	say	nn2	vv0
26	segregate	the	vvi	at
195	total	time	jj	nnt1
31	grand	compromise	jj	nn1
68	career	here	nn1	rl
80	came	that	vvd	dd1
27	which	travels	ddq	vvz
99	More	money	dar	nn1
26	life	following	nn1	vvg
84	strongly	of	rr	io
192	hormone	levels	nn1	nn2
47	P.S.	I	nn1	ppis1
49	the	lumen	at	nn1
24	new	Dodge	jj	np1
43	big	Wall	jj	np1
61	Democratic	vice	jj	jj
59	Colorado	have	np1	vh0
29	only	policy	jj	nn1
46	natural	instincts	jj	nn2
505	she	appeared	pphs1	vvd
31	crashes	involving	nn2	vvg
30	heroin	sniffers	nn1	nn2
313	To	maintain	to	vvi
300	give	birth	vv0	nn1
299	state	funding	nn1	nn1
48	or	isolated	cc	jj
94	the	complainant	at	nn1
105	is	unreasonable	vbz	jj
64	Investigators	also	nn2	rr
29	Alabama	Supreme	np1	jj
154	of	flexible	io	jj
35	Paramount	Pictures	np1	vvz
32	finally	replied	rr	vvd
135	Count	on	vv0	ii
26	your	quarry	appge	nn1
223	culture	by	nn1	ii
66	said	Michelle	vvd	np1
51	if	ye	cs	ppy
90	its	ninth	appge	md
24	Army	War	nn1	nn1
102	ongoing	study	jj	nn1
80	Stephen	Solarz	np1	np1
28	like	Sara	ii	np1
62	a	barred	at1	jj
26	if	once	cs	rr
48	favorites	at	nn2	ii
44	schools	already	nn2	rr
36	ships	can	nn2	vm
40	pro	golf	jj	nn1
26	ankles	crossed	nn2	vvd
33	some	references	dd	nn2
199	increases	for	vvz	if
41	president	promised	nn1	vvd
131	level	they	nn1	pphs2
26	It	tracks	pph1	vvz
122	more	harshly	rgr	rr
35	manure	or	nn1	cc
24	comment	the	nn1	at
61	lights	will	nn2	vm
212	skills	such	nn2	ii21
46	No	specific	xx	jj
35	meaningful	as	jj	csa
